iter	Passed	Remaining
358	6837	12208
359	6849	12176
360	6863	12149
361	6878	12123
362	6892	12094
363	6901	12058
364	6915	12030
365	6929	12004
366	6943	11976
367	6958	11950
368	6974	11927
369	6992	11906
370	7008	11883
371	7025	11860
372	7042	11837
373	7060	11818
374	7075	11792
375	7088	11763
376	7096	11727
377	7108	11696
378	7124	11674
379	7140	11650
380	7155	11624
381	7171	11601
382	7186	11577
383	7201	11552
384	7216	11528
385	7230	11501
386	7246	11478
387	7261	11454
388	7277	11430
389	7294	11409
390	7308	11383
391	7325	11362
392	7341	11338
393	7356	11314
394	7373	11292
395	7389	11270
396	7403	11245
397	7420	11223
398	7434	11198
399	7450	11176
400	7468	11156
401	7484	11133
402	7501	11112
403	7515	11087
404	7530	11063
405	7546	11040
406	7559	11014
407	7573	10989
408	7589	10966
409	7604	10943
410	7620	10920
411	7635	10896
412	7649	10871
413	7665	10849
414	7681	10828
415	7694	10801
416	7710	10779
417	7725	10757
418	7743	10737
419	7758	10714
420	7775	10692
421	7790	10670
422	7804	10645
423	7819	10622
424	7832	10597
425	7844	10569
426	7860	10548
427	7875	10525
428	7891	10503
429	7906	10480
430	7922	10459
431	7939	10438
432	7954	10416
433	7972	10397
434	7987	10374
435	8003	10353
436	8021	10334
437	8036	10311
438	8053	10291
439	8068	10269
440	8083	10246
441	8094	10218
442	8108	10195
443	8119	10168
444	8133	10144
445	8146	10118
446	8162	10098
447	8179	10078
448	8196	10057
449	8213	10038
450	8228	10016
451	8243	9994
452	8258	9971
453	8272	9948
454	8286	9925
455	8299	9901
456	8317	9883
457	8332	9861
458	8348	9839
459	8362	9817
460	8376	9794
461	8388	9768
462	8402	9745
463	8418	9725
464	8432	9702
465	8448	9680
466	8465	9662
467	8478	9637
468	8494	9617
469	8511	9598
470	8529	9579
471	8544	9558
472	8557	9534
473	8575	9515
474	8593	9497
475	8605	9473
476	8621	9452
477	8633	9427
478	8650	9408
479	8665	9387
480	8680	9366
481	8696	9345
482	8707	9320
483	8724	9300
484	8738	9279
485	8757	9262
486	8773	9241
487	8785	9217
488	8797	9193
489	8815	9175
490	8830	9154
491	8844	9131
492	8860	9112
493	8875	9090
494	8890	9070
495	8905	9049
496	8922	9029
497	8937	9009
498	8952	8988
499	8966	8966
500	8981	8945
501	8997	8925
502	9014	8907
503	9031	8887
504	9047	8868
505	9063	8848
506	9079	8828
507	9096	8809
508	9107	8785
509	9122	8764
510	9133	8739
511	9148	8719
512	9161	8696
513	9171	8672
514	9184	8649
515	9197	8627
516	9208	8602
517	9220	8579
518	9232	8556
519	9245	8533
520	9256	8510
521	9271	8489
522	9283	8466
523	9294	8443
524	9305	8419
525	9316	8395
526	9334	8377
527	9350	8359
528	9367	8340
529	9378	8316
530	9394	8297
531	9410	8278
532	9425	8258
533	9437	8235
534	9449	8212
535	9465	8193
536	9482	8175
537	9498	8156
538	9514	8138
539	9530	8118
540	9548	8100
541	9558	8077
542	9573	8057
543	9584	8034
544	9600	8015
545	9611	7992
546	9628	7973
547	9642	7953
548	9656	7933
549	9668	7910
550	9680	7888
551	9698	7871
552	9713	7851
553	9729	7832
554	9740	7809
555	9754	7789
556	9770	7770
557	9783	7749
558	9798	7730
559	9815	7712
560	9830	7692
561	9845	7673
562	9861	7654
563	9877	7635
564	9892	7616
565	9906	7596
566	9922	7577
567	9932	7554
568	9943	7531
569	9959	7513
570	9977	7496
571	9993	7477
572	10008	7458
573	10024	7439
574	10035	7417
575	10049	7397
576	10060	7375
577	10075	7356
578	10092	7338
579	10102	7315
580	10118	7296
581	10128	7274
582	10140	7252
583	10157	7235
584	10173	7217
585	10184	7195
586	10196	7173
587	10210	7154
588	10223	7134
589	10238	7115
590	10254	7096
591	10269	7077
592	10280	7056
593	10290	7033
594	10302	7012
595	10318	6994
596	10333	6975
597	10348	6956
598	10363	6937
599	10375	6917
600	10387	6896
601	10402	6877
602	10413	6856
603	10428	6836
604	10438	6815
605	10452	6796
606	10469	6778
607	10485	6760
608	10496	6738
609	10510	6719
610	10521	6698
611	10536	6679
612	10547	6658
613	10562	6640
614	10573	6618
615	10587	6600
616	10603	6582
617	10619	6564
618	10635	6546
619	10652	6528
620	10668	6510
621	10693	6498
622	10714	6483
623	10743	6473
624	10770	6462
625	10795	6449
626	10822	6438
627	10841	6422
628	10862	6407
629	10893	6398
630	10924	6388
631	10956	6379
632	10981	6366
633	10998	6349
634	11030	6340
635	11061	6331
636	11101	6326
637	11135	6318
638	11169	6309
639	11207	6304
640	11241	6296
641	11275	6287
642	11317	6283
643	11343	6270
644	11369	6257
645	11402	6248
646	11419	6230
647	11445	6217
648	11462	6199
649	11488	6185
650	11515	6173
651	11542	6160
652	11559	6142
653	11577	6125
654	11595	6107
655	11610	6088
656	11622	6067
657	11638	6049
658	11655	6031
659	11673	6013
660	11685	5992
661	11698	5973
662	11711	5952
663	11724	5933
664	11743	5915
665	11755	5895
666	11773	5877
667	11793	5861
668	11804	5840
669	11821	5822
670	11832	5801
671	11843	5780
672	11854	5759
673	11868	5740
674	11883	5721
675	11893	5700
676	11905	5680
677	11919	5660
678	11934	5641
679	11950	5623
680	11965	5604
681	11976	5584
682	11991	5565
683	12007	5547
684	12022	5528
685	12034	5508
686	12044	5487
687	12055	5467
688	12070	5448
689	12082	5428
690	12096	5409
691	12107	5388
692	12121	5369
693	12132	5349
694	12147	5330
695	12162	5312
696	12173	5291
697	12188	5273
698	12205	5255
699	12215	5235
700	12233	5217
701	12244	5197
702	12259	5179
703	12275	5161
704	12288	5141
705	12299	5121
706	12310	5101
707	12324	5083
708	12339	5064
709	12353	5045
710	12363	5025
711	12373	5005
712	12385	4985
713	12401	4967
714	12412	4947
715	12427	4929
716	12444	4911
717	12458	4893
718	12473	4874
719	12484	4854
720	12500	4837
721	12515	4818
722	12532	4801
723	12550	4784
724	12566	4766
725	12582	4748
726	12598	4730
727	12614	4712
728	12631	4695
729	12642	4675
730	12654	4656
731	12666	4637
732	12682	4619
733	12699	4602
734	12716	4584
735	12727	4565
736	12747	4548
737	12759	4529
738	12777	4512
739	12798	4496
740	12812	4478
741	12829	4460
742	12846	4443
743	12861	4425
744	12871	4405
745	12888	4388
746	12903	4370
747	12918	4352
748	12933	4334
749	12946	4315
750	12961	4297
751	12976	4279
752	12989	4260
753	13005	4243
754	13016	4223
755	13026	4204
756	13041	4186
757	13052	4167
758	13068	4149
759	13079	4130
760	13094	4112
761	13111	4095
762	13123	4076
763	13140	4059
764	13152	4040
765	13170	4023
766	13187	4005
767	13205	3989
768	13223	3972
769	13241	3955
770	13261	3938
771	13281	3922
772	13305	3907
773	13326	3891
774	13347	3875
775	13371	3859
776	13392	3843
777	13406	3825
778	13425	3808
779	13439	3790
780	13460	3774
781	13480	3757
782	13493	3739
783	13509	3722
784	13526	3704
785	13541	3687
786	13552	3667
787	13565	3649
788	13582	3632
789	13597	3614
790	13613	3596
791	13631	3579
792	13645	3561
793	13660	3544
794	13680	3527
795	13694	3509
796	13706	3491
797	13726	3474
798	13740	3456
799	13754	3438
800	13775	3422
801	13792	3405
802	13812	3388
803	13827	3370
804	13844	3353
805	13860	3336
806	13871	3317
807	13886	3299
808	13896	3280
809	13912	3263
810	13927	3245
811	13943	3228
812	13954	3209
813	13968	3191
814	13980	3173
815	13997	3156
816	14012	3138
817	14022	3120
818	14039	3102
819	14057	3085
820	14075	3068
821	14089	3051
822	14108	3034
823	14123	3016
824	14146	3000
825	14160	2982
826	14183	2967
827	14202	2950
828	14215	2932
829	14236	2915
830	14254	2898
831	14270	2881
832	14282	2863
833	14300	2846
834	14316	2828
835	14327	2810
836	14345	2793
837	14355	2775
838	14366	2756
839	14382	2739
840	14397	2722
841	14411	2704
842	14427	2686
843	14441	2669
844	14456	2651
845	14467	2633
846	14485	2616
847	14501	2599
848	14512	2581
849	14531	2564
850	14543	2546
851	14564	2530
852	14586	2513
853	14606	2497
854	14620	2479
855	14634	2461
856	14647	2444
857	14666	2427
858	14679	2409
859	14699	2392
860	14715	2375
861	14732	2358
862	14748	2341
863	14765	2324
864	14776	2306
865	14795	2289
866	14813	2272
867	14833	2255
868	14850	2238
869	14866	2221
870	14883	2204
871	14894	2186
872	14909	2168
873	14927	2152
874	14939	2134
875	14953	2116
876	14973	2099
877	14991	2083
878	15011	2066
879	15030	2049
880	15042	2031
881	15059	2014
882	15077	1997
883	15095	1980
884	15112	1963
885	15124	1946
886	15141	1929
887	15153	1911
888	15169	1894
889	15188	1877
890	15198	1859
891	15209	1841
892	15220	1823
893	15236	1806
894	15252	1789
895	15264	1771
896	15275	1754
897	15291	1736
898	15302	1719
899	15321	1702
900	15338	1685
901	15353	1668
902	15364	1650
903	15381	1633
904	15398	1616
905	15409	1598
906	15420	1581
907	15436	1564
908	15448	1546
909	15459	1528
910	15471	1511
911	15488	1494
912	15503	1477
913	15515	1459
914	15532	1442
915	15543	1425
916	15560	1408
917	15572	1391
918	15590	1374
919	15605	1357
920	15624	1340
921	15635	1322
922	15647	1305
923	15664	1288
924	15682	1271
925	15693	1254
926	15711	1237
927	15729	1220
928	15740	1203
929	15752	1185
930	15766	1168
931	15785	1151
932	15798	1134
933	15812	1117
934	15829	1100
935	15843	1083
936	15860	1066
937	15876	1049
938	15892	1032
939	15907	1015
940	15919	998
941	15935	981
942	15945	963
943	15956	946
944	15971	929
945	15982	912
946	15997	895
947	16008	878
948	16019	860
949	16029	843
950	16044	826
951	16054	809
952	16070	792
953	16085	775
954	16096	758
955	16110	741
956	16127	724
957	16142	707
958	16153	690
959	16164	673
960	16180	656
961	16196	639
962	16212	622
963	16228	606
964	16243	589
965	16254	572
966	16269	555
967	16279	538
968	16291	521
969	16306	504
970	16321	487
971	16337	470
972	16353	453
973	16370	436
974	16381	420
975	16396	403
976	16409	386
977	16427	369
978	16439	352
979	16454	335
980	16470	319
981	16487	302
982	16504	285
983	16521	268
984	16537	251
985	16552	235
986	16568	218
987	16585	201
988	16600	184
989	16618	167
990	16628	151
991	16644	134
992	16660	117
993	16678	100
994	16689	83
995	16705	67
996	16721	50
997	16738	33
998	16754	16
999	16770	0
